电影中文名,电影英文名,电影详情页链接,导演,主演,上映年份,国籍,类型,评分,评分人数
美国往事,Once Upon a Time in America,https://movie.douban.com/subject/1292262/,赛尔乔·莱翁内 Sergio Leone,罗伯特·德尼罗 Robert De Niro ...,1984 ,美国 意大利,犯罪 剧情,9.1,464757人评价
红辣椒,パプリカ,https://movie.douban.com/subject/1865703/,今敏 Satoshi Kon,林原惠美 Megumi Hayashibara / 江守彻 Toru...,2006 ,日本,动画 悬疑 科幻 惊悚,9.0,558311人评价
七宗罪,Se7en,https://movie.douban.com/subject/1292223/,大卫·芬奇 David Fincher,摩根·弗里曼 Morgan Freeman / 布...,1995 ,美国,剧情 犯罪 悬疑 惊悚,8.8,1047663人评价
唐伯虎点秋香,唐伯虎點秋香,https://movie.douban.com/subject/1306249/,李力持 Lik-Chi Lee,周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,1993 ,中国香港,喜剧 爱情 古装,8.8,1208214人评价
狩猎,Jagten,https://movie.douban.com/subject/6985810/,托马斯·温特伯格 Thomas Vinterberg,麦斯·米科尔森 Mads Mik...,2012 ,丹麦 瑞典,剧情,9.1,461279人评价
幽灵公主,もののけ姫,https://movie.douban.com/subject/1297359/,宫崎骏 Hayao Miyazaki,松田洋治 Yôji Matsuda / 石田百合...,1997 ,日本,动画 奇幻 冒险,8.9,659462人评价
甜蜜蜜,Comrades: Almost a Love Story,https://movie.douban.com/subject/1305164/,陈可辛 Peter Chan,黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,1996 ,中国香港,剧情 爱情,8.9,661107人评价
寄生虫,기생충,https://movie.douban.com/subject/27010768/,奉俊昊 Joon-ho Bong,宋康昊 Kang-ho Song / 李善均 Seon-gyun...,2019 ,韩国,剧情,8.8,1528508人评价
蝙蝠侠：黑暗骑士崛起,The Dark Knight Rises,https://movie.douban.com/subject/3395373/,克里斯托弗·诺兰 Christopher Nolan,克里斯蒂安·贝尔 Christ...,2012 ,美国 英国,剧情 动作 科幻 犯罪 惊悚,8.9,803933人评价
天书奇谭,天书奇谭4K纪念版  /  The Legend of Sealed Book,https://movie.douban.com/subject/1428581/,王树忱 Shuchen Wang / 钱运达 Yunda Qian,丁建华 Jianhua Din...,1983(中国大陆) ,中国大陆,中国大陆,9.2,327303人评价
7号房的礼物,7번방의 선물,https://movie.douban.com/subject/10777687/,李焕庆 Hwan-kyeong Lee,柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,2013 ,韩国,剧情 喜剧 家庭,8.9,615246人评价
超能陆战队,Big Hero 6,https://movie.douban.com/subject/11026735/,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,斯科特...,2014 ,美国,喜剧 动作 科幻 动画 冒险,8.8,1130134人评价
爱在黎明破晓前,Before Sunrise,https://movie.douban.com/subject/1296339/,理查德·林克莱特 Richard Linklater,伊桑·霍克 Ethan Hawke ...,1995 ,美国 奥地利 瑞士,剧情 爱情,8.8,787109人评价
第六感,The Sixth Sense,https://movie.douban.com/subject/1297630/,M·奈特·沙马兰 M. Night Shyamalan,布鲁斯·威利斯 Bruce Wi...,1999 ,美国,剧情 悬疑 惊悚,8.9,628250人评价
爱在日落黄昏时,Before Sunset,https://movie.douban.com/subject/1291990/,理查德·林克莱特 Richard Linklater,伊桑·霍克 Ethan Hawke ...,2004 ,美国 法国,剧情 爱情,8.9,643444人评价
被嫌弃的松子的一生,嫌われ松子の一生,https://movie.douban.com/subject/1787291/,中岛哲也 Tetsuya Nakashima,中谷美纪 Miki Nakatani / 瑛太 E...,2006 ,日本,剧情 歌舞,8.8,766986人评价
茶馆,The Teahouse,https://movie.douban.com/subject/1461403/,谢添 Tian Xie,于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T...,1982(中国大陆) ,中国大陆,剧情 历史,9.6,201738人评价
重庆森林,重慶森林,https://movie.douban.com/subject/1291999/,王家卫 Kar Wai Wong,林青霞 Brigitte Lin / 金城武 Takeshi K...,1994 ,中国香港,剧情 爱情,8.8,912166人评价
未麻的部屋,Perfect Blue,https://movie.douban.com/subject/1395091/,今敏 Satoshi Kon,岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,1997 ,日本,剧情 犯罪 动画 悬疑 惊悚,9.1,416866人评价
哈利·波特与火焰杯,Harry Potter and the Goblet of Fire,https://movie.douban.com/subject/1309055/,迈克·内威尔 Mike Newell,丹尼尔·雷德克里夫 Daniel Radclif...,2005 ,英国 美国,悬疑 奇幻 冒险,8.8,787721人评价
入殓师,おくりびと,https://movie.douban.com/subject/2149806/,泷田洋二郎 Yôjirô Takita,本木雅弘 Masahiro Motoki / ...,2008 ,日本,剧情,8.9,737057人评价
头脑特工队,Inside Out,https://movie.douban.com/subject/10533913/,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen&nb...,本木雅弘 Masahiro Motoki / ...,2015 ,美国,喜剧 动画 冒险,8.8,788280人评价
借东西的小人阿莉埃蒂,借りぐらしのアリエッティ,https://movie.douban.com/subject/4202302/,米林宏昌 Hiromasa Yonebayashi,志田未来 Mirai Shida / 神木...,2010 ,日本,动画 奇幻 冒险,8.9,620072人评价
菊次郎的夏天,菊次郎の夏,https://movie.douban.com/subject/1293359/,北野武 Takeshi Kitano,北野武 Takeshi Kitano / 关口雄介 Yus...,1999 ,日本,剧情 喜剧,8.9,666586人评价
剪刀手爱德华,Edward Scissorhands,https://movie.douban.com/subject/1292370/,蒂姆·波顿 Tim Burton,约翰尼·德普 Johnny Depp / 薇诺娜·...,1990 ,美国,剧情 爱情 奇幻,8.7,1111603人评价
断背山,Brokeback Mountain,https://movie.douban.com/subject/1418834/,李安 Ang Lee,希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,2005 ,美国 加拿大,剧情 爱情 同性 家庭,8.8,773226人评价
